sample_id,caption,label_a,label_a_name,label_b,label_b_name,split
0,Two tall giraffe standing next to each other on a  field.,0,Real,0,Real,train
1,Two tall giraffe standing next to each other on a  field.,1,AI-Generated,1,SD21,train
2,Two tall giraffe standing next to each other on a  field.,1,AI-Generated,2,SDXL,train
3,Two tall giraffe standing next to each other on a  field.,1,AI-Generated,3,SD3,train
4,Two tall giraffe standing next to each other on a  field.,1,AI-Generated,4,DALLE3,train
5,Two tall giraffe standing next to each other on a  field.,1,AI-Generated,5,Midjourney,train
6,a close up of a street sign with a mountain in the background,0,Real,0,Real,train
7,a close up of a street sign with a mountain in the background,1,AI-Generated,1,SD21,train
8,a close up of a street sign with a mountain in the background,1,AI-Generated,2,SDXL,train
9,a close up of a street sign with a mountain in the background,1,AI-Generated,3,SD3,train
10,a close up of a street sign with a mountain in the background,1,AI-Generated,4,DALLE3,train
11,a close up of a street sign with a mountain in the background,1,AI-Generated,5,Midjourney,train
12,An old toilet outside against an old painted wall.,0,Real,0,Real,train
13,An old toilet outside against an old painted wall.,1,AI-Generated,1,SD21,train
14,An old toilet outside against an old painted wall.,1,AI-Generated,2,SDXL,train
15,An old toilet outside against an old painted wall.,1,AI-Generated,3,SD3,train
16,An old toilet outside against an old painted wall.,1,AI-Generated,4,DALLE3,train
17,An old toilet outside against an old painted wall.,1,AI-Generated,5,Midjourney,train
18,A car with the nose of a shark eating a teddy,0,Real,0,Real,train
19,A car with the nose of a shark eating a teddy,1,AI-Generated,1,SD21,train
20,A car with the nose of a shark eating a teddy,1,AI-Generated,2,SDXL,train
21,A car with the nose of a shark eating a teddy,1,AI-Generated,3,SD3,train
22,A car with the nose of a shark eating a teddy,1,AI-Generated,4,DALLE3,train
23,A car with the nose of a shark eating a teddy,1,AI-Generated,5,Midjourney,train
24,The cat is looking out of the car window. ,0,Real,0,Real,train
25,The cat is looking out of the car window. ,1,AI-Generated,1,SD21,train
26,The cat is looking out of the car window. ,1,AI-Generated,2,SDXL,train
27,The cat is looking out of the car window. ,1,AI-Generated,3,SD3,train
28,The cat is looking out of the car window. ,1,AI-Generated,4,DALLE3,train
29,The cat is looking out of the car window. ,1,AI-Generated,5,Midjourney,train
30,"Small bathroom with sink, toilet, and shower/tub combo.",0,Real,0,Real,train
31,"Small bathroom with sink, toilet, and shower/tub combo.",1,AI-Generated,1,SD21,train
32,"Small bathroom with sink, toilet, and shower/tub combo.",1,AI-Generated,2,SDXL,train
33,"Small bathroom with sink, toilet, and shower/tub combo.",1,AI-Generated,3,SD3,train
34,"Small bathroom with sink, toilet, and shower/tub combo.",1,AI-Generated,4,DALLE3,train
35,"Small bathroom with sink, toilet, and shower/tub combo.",1,AI-Generated,5,Midjourney,train
36,a giraffe leaning over a fence to eat out of a bowl that a woman is holding ,0,Real,0,Real,train
37,a giraffe leaning over a fence to eat out of a bowl that a woman is holding ,1,AI-Generated,1,SD21,train
38,a giraffe leaning over a fence to eat out of a bowl that a woman is holding ,1,AI-Generated,2,SDXL,train
39,a giraffe leaning over a fence to eat out of a bowl that a woman is holding ,1,AI-Generated,3,SD3,train
40,a giraffe leaning over a fence to eat out of a bowl that a woman is holding ,1,AI-Generated,4,DALLE3,train
